name,country,snatch1,snatch2,snatch3,cj1,cj2,cj3,total,snatch1_success,snatch2_success,snatch3_success,cj1_success,cj2_success,cj3_success
RIGAUD Garance,FRA,94,94,95,0,0,0,0,False,False,False,False,False,False
RIM Un Sim,PRK,111,111,114,140,144,147,258,False,True,True,True,True,False
RI Suk,PRK,108,113,113,140,147,147,248,True,False,False,True,False,False
SAMULIAK Svitlana,UKR,98,101,101,116,120,122,221,True,False,True,True,True,False
DAVYDOVA Hanna,UKR,94,94,100,112,117,121,211,False,True,False,True,True,False
THORNTON Tenishia,MLT,84,87,90,105,109,111,201,True,True,True,True,True,True
MCINTYRE Emma,NZL,83,83,87,103,107,110,197,False,True,True,True,True,True
BARRY Gillian,IRL,78,78,78,92,96,100,178,False,False,True,True,True,True
NICOLE HENG Lin Li,SGP,70,75,76,90,94,96,170,True,False,True,True,True,False
NAKIDDE Lydia,UGA,65,70,72,85,90,92,164,True,True,True,True,True,True
LANGAT Winny Chepngeno,KEN,65,68,68,85,86,88,151,True,False,False,False,True,False
BURGER Chantelle,RSA,64,67,67,82,86,87,151,True,False,False,True,False,True
KAMSHAD Alzahraa M N A,KUW,55,62,66,73,78,82,140,True,True,False,True,True,False
REEVES Olivia Lynn,USA,112,115,118,142,147,150,268,True,True,True,True,True,True
SONG Kuk Hyang,PRK,115,120,120,146,154,154,261,True,False,False,True,False,False
LIAO Guifang,CHN,115,120,120,149,149,154,264,True,False,False,False,True,False
PALACIOS DAJOMES Angie Paola,ECU,113,113,116,132,136,0,245,False,True,False,True,False,False
SARNO Vanessa,PHI,105,108,110,135,135,138,245,True,True,True,False,True,False
